129,SP-05-021,Vex Pro,217-4244,Power Distribution Board 2016,L. Furlong,2016-02-16,http://www.vexrobotics.com/217-4244.html, ,
130,SP-05-022,Vex Pro,217-4245,Voltage Regulator Module,L. Furlong,2016-02-16,http://www.vexrobotics.com/217-4245.html, ,
131,SP-02-013,Vex Pro,217-3562,"Base VersaPlanetary 1:1 with 1/2"" with 1/8"" Keyway Round Output",Y. Ghebreyesus,2016-02-19,http://www.vexrobotics.com/versaplanetary.html, ,
132,SP-03-008,Vex Pro,217-3562,Gear Box,Y. Ghebreyesus,2016-02-20,http://www.vexrobotics.com/versaplanetary.html, ,
133,SP-05-023,Open-Mesh,OM5P-AN,Dual Band 2x2 450 Mbps Access Point,K. Dominguez,2016-03-05,http://www.open-mesh.com/om5p-an.html, ,
134,SP-03-009,Vex Pro,217-3423-003,WDP - Transmission Shaft,S. Tefera,2016-11-08,http://www.vexrobotics.com/wcp-ds.html, ,
135,SP-03-010,????,????,????,U. Unknown,2017-01-09,, ,
136,SP-03-011,Bane Bots,BB220S-444-4,"Building Block 220 Gearbox: Standard 641, 1 CIM Mount",B. Long,2017-01-09,http://www.banebots.com/product/BB220S-444-4.html, ,
137,SP-08-006,Andy Mark,AM-0976,.500 Inch Cicular Hub,S. Wang,2017-01-10,http://www.andymark.com/Hub-p/am-0976.htm, ,
138,SP-01-014,Vex Pro,217-3644,"Left 4"" mecanum wheel",B. Long,2017-01-14,http://www.vexrobotics.com/mecanum-wheels.html, ,
139,SP-01-015,Vex Pro,???,????,B. Long,2017-01-14,http://www.vexrobotics.com/mecanum-wheels.html, ,
140,SP-03-012,Vex Pro,217-4824,Butterfly drive - All Parts (Not moveable),B. Long,2017-01-14,http://www.vexrobotics.com/217-4824.html, ,
141,SP-03-013,Vex Pro,217-3421,WCP SS - Single Speed Base Kit,S. Wang,2017-01-14,http://www.vexrobotics.com/wcp-ss.html, ,
142,SP-06-001,Vex Pro,217-2690, Plate Sprocket - 32t,S. Wang,2017-01-14,http://www.vexrobotics.com/25-sprockets.html, ,
143,SP-07-005,Vex Pro,18635A54,Large-Diameter Ring-Style Turntable,S. Wang,2017-01-14,https://www.mcmaster.com/, ,
144,SP-07-006,Vex Pro,217-3875,Flanged Bearing - 0.500in (Hex) x 1.125in x 0.313in v2,S. Wang,2017-01-14,, ,Remvoed Local File Link
145,SP-08-007,Vex Pro,217-4009,"VersaHub (1/2"" Hex, Plastic)",S. Wang,2017-01-14,http://www.vexrobotics.com/versahubs.html, ,
146,SP-14-013,Vex Pro,217-3309,"1/2"" Hex Stock (18 inches)",S. Wang,2017-01-14,http://www.vexrobotics.com/shaft-stock.html, ,
147,SP-14-014,Vex Pro,217-3421-005,Spacing on 217-3421,S. Wang,2017-01-14,http://www.vexrobotics.com/wcp-ss.html, ,
148,SP-01-016,Vex Pro,217-2903,VersaWheel (4''),R. Rietveld,2017-01-16,http://www.vexrobotics.com/217-2903.html, ,
149,SP-02-014,Vex Pro,217-2000,CIM Motor,R. Rietveld,2017-01-16,http://www.vexrobotics.com/217-2000.html, ,
150,SP-06-002,Vex Pro,217-2614,12t CIM Motor Gear with Mounting Hardware,R. Rietveld,2017-01-16,http://www.vexrobotics.com/217-2614.html, ,
151,SP-06-003,Vex Pro,217-3223,"66t Gear with 1/2"" Hex Bore & VersaKeys",R. Rietveld,2017-01-16,http://www.vexrobotics.com/1-2-hex-bore.html, ,
152,SP-06-005,McMaster-Carr,6843K13,15 tooth/90 degree miter gear,H. Fieldhouse,2017-01-16,https://www.mcmaster.com/, ,
153,SP-09-009,Vex Pro,217-2642,"#25 Sprocket w/ Hub - 16t - 1/2"" Hex ID",R. Rietveld,2017-01-16,http://www.vexrobotics.com/25-sprockets.html, ,
154,SP-16-007,Vex Pro,217-3257,"1/16"" Acetal Spacer - 1/2"" Hex",R. Rietveld,2017-01-16,http://www.vexrobotics.com/acetalspacers-vexpro.html, ,
155,SP-17-003,Vex Pro,217-4106,"High Strength Clamping Shaft Collar - 1/2"" Hex ID",R. Rietveld,2017-01-16,http://www.vexrobotics.com/shaft-collars.html, ,
156,SP-99-006,80/20 INC,4340,15 Series & Ready Tube 5 Hole - Tee Flat Plate,S. Wang,2017-01-16,https://8020.net/shop/4340.html, ,
157,SP-99-007,80/20 INC,45-4351,45 Series 5 Hole - 90 Degree Angled Flat Plate,H. Fieldhouse,2017-01-16,https://8020.net/45-4351.html, ,
158,SP-02-015,Vex Pro,217-4347,775 VexPro Motor,D. Brandon,2017-01-17,http://www.vexrobotics.com/217-4347.html, ,
159,SP-03-014,Vex Pro,Multiple,"10:1, Planetary, For 775, With Motor, Hex Output",D. Brandon,2017-01-17,http://www.vexrobotics.com/versaplanetary.html, ,
160,SP-06-004,Vex Pro,217-3344,15T Bevel Gear,B. Long,2017-01-17,http://www.vexrobotics.com/vexpro/motion/217-3344.html, ,
161,SP-01-017,Bane Bots,T40P-243BG-HS4,"BaneBots Wheel, 2-3/8"" x 0.4"", 1/2"" Hex Mount, 30A, Black/Green",S. Wang,2017-01-19,http://www.banebots.com/product/T40P-243BG-HS4.html, ,
162,SP-03-015,Vex Pro,217-4975,"Rough Model Base VersaPlanetary v2 1:1 with 1/2"" with 1/8"" Keyway Round Outpu",S. Wang,2017-01-19,http://www.vexrobotics.com/versaplanetary.html, ,
163,SP-03-016,Vex Pro,217-4008,1/2 inch shaft coupler,J. Bassett,2017-01-19,, ,Remvoed Local File Link
164,SP-08-008,Vex Pro,2590,"Hub, 1/2 Round Shaft",D. Brandon,2017-01-20,, ,Remvoed Local File Link
165,SP-01-018,Bane Bots,T40P-173BG-HS4,"BaneBots Wheel, 1-5/8"" x 0.4"", 1/2"" Hex Mount, 30A, Black/Green",S. Wang,2017-01-21,http://www.banebots.com/product/T40P-173BG-HS4.html, ,
